SUM of Total Inmates in Census since 1997,,,288697,,,,,,,
DMAX number of Inmates Sentenced since 1997,,,573,,,,,,,
DAVERAGE number of Inmates in Census in 2014,,,247.8085837,,,,,,,
DVARP of Other Unsentenced Inmates since 1997,,,318.0657297,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Facility Name,Year,Census,Sentenced,Civil,Federal,Technical Parole Violators,State Readies,Other Unsentenced,Boarded Out,Boarded In
Washington County Penitentiary,2010,119,29,3,7,9,2,68,0,16
Wayne County Penitentiary,2010,132,48,0,16,7,2,58,5,7
Westchester Annex,2010,2,1,0,0,0,0,1,0,0
Westchester Penitentiary,2010,801,136,0,176,32,8,449,5,4
Westchester Pen,2010,581,211,0,0,26,4,340,0,0
Wyoming County Penitentiary,2010,59,19,0,0,2,1,37,0,4
Yates County Penitentiary,2010,48,13,0,11,3,1,20,1,0
Albany County Penitentiary,2009,647,138,0,81,37,19,371,0,2
Allegany County Penitentiary,2009,130,17,1,63,0,0,49,0,1
Broome County Penitentiary,2009,427,83,0,22,14,7,301,0,1
Cattaraugus County Penitentiary,2009,114,36,0,20,5,2,51,0,0
Cayuga County Penitentiary,2009,182,43,0,46,3,2,87,0,1
Chautauqua County Penitentiary,2009,273,49,0,60,11,2,150,0,0
Chemung County Penitentiary,2009,190,83,0,0,15,3,88,1,0
Chenango County Penitentiary,2009,67,29,2,0,2,0,33,0,3
Clinton County Penitentiary,2009,187,63,1,26,5,3,89,1,13
Columbia County Penitentiary,2009,99,13,1,3,6,1,74,0,13
Cortland County Penitentiary,2009,58,16,2,0,3,1,35,2,0
Delaware County Penitentiary,2009,65,27,2,4,5,0,27,0,3
Dutchess County Penitentiary,2009,262,49,8,0,11,3,192,77,1
Erie County Correctional Facility,2009,836,478,0,0,40,0,318,0,0
Erie County Penitentiary,2009,462,64,2,6,27,13,350,0,0
Erie County Yankee Compound,2009,77,77,0,0,0,0,0,0,0
Essex County Penitentiary,2009,65,14,0,31,1,0,20,0,6
Essex County Sheriff,2009,0,0,0,0,0,0,0,0,0
Franklin County Penitentiary,2009,104,37,1,0,5,1,60,2,1
Fulton County Penitentiary,2009,95,26,7,0,4,1,57,1,10
Genesee County Penitentiary,2009,73,26,2,0,7,2,37,11,0
Greene County Penitentiary,2009,48,14,1,0,5,1,27,19,0
Hamilton County Penitentiary,2009,1,1,0,0,0,0,1,0,0
Herkimer County Penitentiary,2009,29,6,0,0,1,1,21,25,0
Jefferson County Penitentiary,2009,140,32,2,1,6,2,96,8,0
Lewis County Penitentiary,2009,32,6,0,5,0,1,20,0,0
Livingston County Penitentiary,2009,80,29,0,0,4,2,45,16,2
